iteration,size,popSize,mutProb,iter,popTop,attack,time,
21,25,300,0.1,5000,0.1,1,10785,
22,25,300,0.1,5000,0.1,1,10965,
23,25,300,0.1,5000,0.1,0,6575,
24,25,300,0.1,5000,0.1,0,3930,
25,25,300,0.1,5000,0.1,0,2421,
26,25,300,0.1,5000,0.1,1,10225,
27,25,300,0.1,5000,0.1,1,9059,
28,25,300,0.1,5000,0.1,1,6874,
29,25,300,0.1,5000,0.1,1,9856,
30,25,300,0.1,5000,0.1,0,1919,
31,25,300,0.1,5000,0.1,1,10420,
32,25,300,0.1,5000,0.1,0,5626,
33,25,300,0.1,5000,0.1,0,690,
34,25,300,0.1,5000,0.1,0,9562,
35,25,300,0.1,5000,0.1,1,10598,
36,25,300,0.1,5000,0.1,1,10852,
37,25,300,0.1,5000,0.1,1,10900,
38,25,300,0.1,5000,0.1,1,9901,
39,25,300,0.1,5000,0.1,1,10135,
40,25,300,0.1,5000,0.1,0,7892,
41,25,300,0.1,5000,0.1,0,7027,
42,25,300,0.1,5000,0.1,1,10290,
43,25,300,0.1,5000,0.1,1,9134,
44,25,300,0.1,5000,0.1,1,6476,
45,25,300,0.1,5000,0.1,2,7110,
46,25,300,0.1,5000,0.1,1,6494,
47,25,300,0.1,5000,0.1,0,1478,
48,25,300,0.1,5000,0.1,1,6160,
49,25,300,0.1,5000,0.1,0,1009,
50,25,300,0.1,5000,0.1,1,6459,
51,25,300,0.1,5000,0.1,1,6664,
52,25,300,0.1,5000,0.1,1,6308,
53,25,300,0.1,5000,0.1,1,6084,
54,25,300,0.1,5000,0.1,1,5999,
55,25,300,0.1,5000,0.1,0,902,
56,25,300,0.1,5000,0.1,0,778,
57,25,300,0.1,5000,0.1,1,6057,
58,25,300,0.1,5000,0.1,1,6235,
59,25,300,0.1,5000,0.1,1,6498,
60,25,300,0.1,5000,0.1,0,135,
61,25,300,0.1,5000,0.1,0,4760,
62,25,300,0.1,5000,0.1,0,1413,
63,25,300,0.1,5000,0.1,1,6126,
64,25,300,0.1,5000,0.1,1,5988,
65,25,300,0.1,5000,0.1,1,6392,
66,25,300,0.1,5000,0.1,1,6771,
67,25,300,0.1,5000,0.1,0,3926,
68,25,300,0.1,5000,0.1,1,6076,
69,25,300,0.1,5000,0.1,0,3189,
70,25,300,0.1,5000,0.1,1,6349,
71,25,300,0.1,5000,0.1,1,6395,
72,25,300,0.1,5000,0.1,0,1182,
73,25,300,0.1,5000,0.1,2,5925,
74,25,300,0.1,5000,0.1,0,784,
75,25,300,0.1,5000,0.1,1,6290,
76,25,300,0.1,5000,0.1,0,3437,
77,25,300,0.1,5000,0.1,1,6320,
78,25,300,0.1,5000,0.1,0,320,
79,25,300,0.1,5000,0.1,0,4063,
80,25,300,0.1,5000,0.1,1,6279,
81,25,300,0.1,5000,0.1,0,5601,
82,25,300,0.1,5000,0.1,1,5667,
83,25,300,0.1,5000,0.1,2,6269,
84,25,300,0.1,5000,0.1,1,6017,
85,25,300,0.1,5000,0.1,0,771,
86,25,300,0.1,5000,0.1,1,6128,
87,25,300,0.1,5000,0.1,0,4308,
88,25,300,0.1,5000,0.1,0,2139,
89,25,300,0.1,5000,0.1,1,6169,
90,25,300,0.1,5000,0.1,0,1558,
91,25,300,0.1,5000,0.1,0,6094,
92,25,300,0.1,5000,0.1,0,2070,
93,25,300,0.1,5000,0.1,0,3812,
94,25,300,0.1,5000,0.1,0,3488,
95,25,300,0.1,5000,0.1,0,6333,
96,25,300,0.1,5000,0.1,1,6423,
97,25,300,0.1,5000,0.1,0,958,
98,25,300,0.1,5000,0.1,1,6108,
99,25,300,0.1,5000,0.1,0,4073,
100,25,300,0.1,5000,0.1,1,6096,
1,25,300,0.1,5000,0.2,1,6213,
2,25,300,0.1,5000,0.2,0,4696,
3,25,300,0.1,5000,0.2,1,6041,
4,25,300,0.1,5000,0.2,1,6264,
5,25,300,0.1,5000,0.2,0,1449,
6,25,300,0.1,5000,0.2,1,6225,
7,25,300,0.1,5000,0.2,0,466,
8,25,300,0.1,5000,0.2,1,6424,
9,25,300,0.1,5000,0.2,0,2430,
10,25,300,0.1,5000,0.2,1,6772,
11,25,300,0.1,5000,0.2,1,6229,
12,25,300,0.1,5000,0.2,0,4861,
13,25,300,0.1,5000,0.2,0,5830,
14,25,300,0.1,5000,0.2,0,1985,
15,25,300,0.1,5000,0.2,1,6268,
16,25,300,0.1,5000,0.2,1,6403,
17,25,300,0.1,5000,0.2,1,6323,
18,25,300,0.1,5000,0.2,0,5098,
19,25,300,0.1,5000,0.2,1,6391,
20,25,300,0.1,5000,0.2,1,6444,
21,25,300,0.1,5000,0.2,1,6711,
22,25,300,0.1,5000,0.2,1,6357,
23,25,300,0.1,5000,0.2,0,3183,
24,25,300,0.1,5000,0.2,1,6131,
25,25,300,0.1,5000,0.2,0,175,
26,25,300,0.1,5000,0.2,0,1998,
27,25,300,0.1,5000,0.2,1,6491,
28,25,300,0.1,5000,0.2,1,6209,
29,25,300,0.1,5000,0.2,0,1453,
30,25,300,0.1,5000,0.2,0,4057,
31,25,300,0.1,5000,0.2,0,2740,
32,25,300,0.1,5000,0.2,1,6164,
33,25,300,0.1,5000,0.2,0,519,
34,25,300,0.1,5000,0.2,1,6205,
35,25,300,0.1,5000,0.2,0,3919,
36,25,300,0.1,5000,0.2,0,3314,
37,25,300,0.1,5000,0.2,1,7451,
38,25,300,0.1,5000,0.2,0,5467,
39,25,300,0.1,5000,0.2,1,6188,
40,25,300,0.1,5000,0.2,1,6043,
41,25,300,0.1,5000,0.2,0,1442,
42,25,300,0.1,5000,0.2,0,4052,
43,25,300,0.1,5000,0.2,0,854,
44,25,300,0.1,5000,0.2,1,6022,
45,25,300,0.1,5000,0.2,0,2139,
46,25,300,0.1,5000,0.2,0,86,
47,25,300,0.1,5000,0.2,0,2675,
48,25,300,0.1,5000,0.2,0,3079,
49,25,300,0.1,5000,0.2,1,6030,
50,25,300,0.1,5000,0.2,0,4309,
51,25,300,0.1,5000,0.2,0,709,
52,25,300,0.1,5000,0.2,0,1259,
53,25,300,0.1,5000,0.2,1,5951,
54,25,300,0.1,5000,0.2,0,4201,
55,25,300,0.1,5000,0.2,0,2348,
56,25,300,0.1,5000,0.2,0,1436,
57,25,300,0.1,5000,0.2,0,3218,
58,25,300,0.1,5000,0.2,1,6126,
59,25,300,0.1,5000,0.2,2,6329,
60,25,300,0.1,5000,0.2,1,6037,
61,25,300,0.1,5000,0.2,1,6488,
62,25,300,0.1,5000,0.2,1,6154,
63,25,300,0.1,5000,0.2,1,6113,
64,25,300,0.1,5000,0.2,1,6208,
65,25,300,0.1,5000,0.2,0,5636,
66,25,300,0.1,5000,0.2,0,2233,
67,25,300,0.1,5000,0.2,0,959,
68,25,300,0.1,5000,0.2,1,6554,
69,25,300,0.1,5000,0.2,0,3293,
70,25,300,0.1,5000,0.2,1,6088,
71,25,300,0.1,5000,0.2,0,3959,
72,25,300,0.1,5000,0.2,0,3622,
73,25,300,0.1,5000,0.2,0,2357,
74,25,300,0.1,5000,0.2,0,3519,
75,25,300,0.1,5000,0.2,0,154,
76,25,300,0.1,5000,0.2,0,5678,
77,25,300,0.1,5000,0.2,0,1708,
78,25,300,0.1,5000,0.2,0,5357,
79,25,300,0.1,5000,0.2,1,6350,
