iteration,size,popSize,mutProb,iter,popTop,attack,time,
22,25,300,0.1,2500,0.1,1,3290,
23,25,300,0.1,2500,0.1,1,3309,
24,25,300,0.1,2500,0.1,1,3503,
25,25,300,0.1,2500,0.1,0,772,
26,25,300,0.1,2500,0.1,1,3603,
27,25,300,0.1,2500,0.1,0,383,
28,25,300,0.1,2500,0.1,0,449,
29,25,300,0.1,2500,0.1,1,3340,
30,25,300,0.1,2500,0.1,1,3294,
31,25,300,0.1,2500,0.1,1,3450,
32,25,300,0.1,2500,0.1,1,3477,
33,25,300,0.1,2500,0.1,0,1263,
34,25,300,0.1,2500,0.1,1,3896,
35,25,300,0.1,2500,0.1,1,3588,
36,25,300,0.1,2500,0.1,0,2377,
37,25,300,0.1,2500,0.1,1,4010,
38,25,300,0.1,2500,0.1,1,3546,
39,25,300,0.1,2500,0.1,1,3781,
40,25,300,0.1,2500,0.1,1,3363,
41,25,300,0.1,2500,0.1,1,3629,
42,25,300,0.1,2500,0.1,1,3460,
43,25,300,0.1,2500,0.1,1,3841,
44,25,300,0.1,2500,0.1,1,3965,
45,25,300,0.1,2500,0.1,0,1918,
46,25,300,0.1,2500,0.1,1,3560,
47,25,300,0.1,2500,0.1,1,3767,
48,25,300,0.1,2500,0.1,1,3388,
49,25,300,0.1,2500,0.1,1,3597,
50,25,300,0.1,2500,0.1,2,3499,
51,25,300,0.1,2500,0.1,1,3425,
52,25,300,0.1,2500,0.1,1,3164,
53,25,300,0.1,2500,0.1,1,3408,
54,25,300,0.1,2500,0.1,0,2091,
55,25,300,0.1,2500,0.1,1,3358,
56,25,300,0.1,2500,0.1,1,3391,
57,25,300,0.1,2500,0.1,1,3281,
58,25,300,0.1,2500,0.1,1,3313,
59,25,300,0.1,2500,0.1,0,3296,
60,25,300,0.1,2500,0.1,1,3160,
61,25,300,0.1,2500,0.1,0,2253,
62,25,300,0.1,2500,0.1,1,3268,
63,25,300,0.1,2500,0.1,2,3390,
64,25,300,0.1,2500,0.1,1,3409,
65,25,300,0.1,2500,0.1,0,3159,
66,25,300,0.1,2500,0.1,1,3245,
67,25,300,0.1,2500,0.1,1,3587,
68,25,300,0.1,2500,0.1,1,3293,
69,25,300,0.1,2500,0.1,2,3432,
70,25,300,0.1,2500,0.1,1,3643,
71,25,300,0.1,2500,0.1,2,3709,
72,25,300,0.1,2500,0.1,0,2141,
73,25,300,0.1,2500,0.1,1,3693,
74,25,300,0.1,2500,0.1,1,3380,
75,25,300,0.1,2500,0.1,2,3389,
76,25,300,0.1,2500,0.1,1,3383,
77,25,300,0.1,2500,0.1,0,506,
78,25,300,0.1,2500,0.1,2,3649,
79,25,300,0.1,2500,0.1,0,2470,
80,25,300,0.1,2500,0.1,1,3363,
81,25,300,0.1,2500,0.1,2,3258,
82,25,300,0.1,2500,0.1,1,3377,
83,25,300,0.1,2500,0.1,0,1864,
84,25,300,0.1,2500,0.1,1,3391,
85,25,300,0.1,2500,0.1,0,3453,
86,25,300,0.1,2500,0.1,0,2449,
87,25,300,0.1,2500,0.1,1,3396,
88,25,300,0.1,2500,0.1,1,3972,
89,25,300,0.1,2500,0.1,1,3637,
90,25,300,0.1,2500,0.1,1,3713,
91,25,300,0.1,2500,0.1,0,149,
92,25,300,0.1,2500,0.1,0,651,
93,25,300,0.1,2500,0.1,0,2704,
94,25,300,0.1,2500,0.1,1,3636,
95,25,300,0.1,2500,0.1,1,3495,
96,25,300,0.1,2500,0.1,1,3440,
97,25,300,0.1,2500,0.1,1,3393,
98,25,300,0.1,2500,0.1,1,3477,
99,25,300,0.1,2500,0.1,1,3499,
100,25,300,0.1,2500,0.1,1,3400,
1,25,300,0.1,5000,0.1,0,3745,
2,25,300,0.1,5000,0.1,2,7027,
3,25,300,0.1,5000,0.1,0,5373,
4,25,300,0.1,5000,0.1,0,2182,
5,25,300,0.1,5000,0.1,0,978,
6,25,300,0.1,5000,0.1,0,6564,
7,25,300,0.1,5000,0.1,0,205,
8,25,300,0.1,5000,0.1,1,6665,
9,25,300,0.1,5000,0.1,0,3501,
10,25,300,0.1,5000,0.1,1,6499,
11,25,300,0.1,5000,0.1,0,1214,
12,25,300,0.1,5000,0.1,0,3020,
13,25,300,0.1,5000,0.1,0,3280,
14,25,300,0.1,5000,0.1,0,5473,
15,25,300,0.1,5000,0.1,1,6564,
16,25,300,0.1,5000,0.1,1,6464,
17,25,300,0.1,5000,0.1,1,6720,
18,25,300,0.1,5000,0.1,1,6459,
19,25,300,0.1,5000,0.1,1,6863,
20,25,300,0.1,5000,0.1,0,7019,
21,25,300,0.1,5000,0.1,1,6725,
22,25,300,0.1,5000,0.1,1,7230,
23,25,300,0.1,5000,0.1,1,6532,
24,25,300,0.1,5000,0.1,0,5075,
25,25,300,0.1,5000,0.1,1,6566,
26,25,300,0.1,5000,0.1,0,2228,
27,25,300,0.1,5000,0.1,1,6860,
28,25,300,0.1,5000,0.1,0,195,
29,25,300,0.1,5000,0.1,1,6659,
30,25,300,0.1,5000,0.1,0,5471,
31,25,300,0.1,5000,0.1,2,7475,
32,25,300,0.1,5000,0.1,0,5870,
33,25,300,0.1,5000,0.1,0,2860,
34,25,300,0.1,5000,0.1,0,1465,
35,25,300,0.1,5000,0.1,1,6835,
36,25,300,0.1,5000,0.1,1,6358,
37,25,300,0.1,5000,0.1,1,6472,
38,25,300,0.1,5000,0.1,0,4680,
39,25,300,0.1,5000,0.1,0,1798,
40,25,300,0.1,5000,0.1,0,1418,
41,25,300,0.1,5000,0.1,0,3798,
42,25,300,0.1,5000,0.1,1,6453,
43,25,300,0.1,5000,0.1,1,6982,
44,25,300,0.1,5000,0.1,1,7293,
45,25,300,0.1,5000,0.1,0,7312,
46,25,300,0.1,5000,0.1,0,6721,
47,25,300,0.1,5000,0.1,2,6901,
48,25,300,0.1,5000,0.1,1,6562,
49,25,300,0.1,5000,0.1,1,6596,
50,25,300,0.1,5000,0.1,1,6709,
51,25,300,0.1,5000,0.1,0,3141,
52,25,300,0.1,5000,0.1,1,6783,
53,25,300,0.1,5000,0.1,0,2122,
54,25,300,0.1,5000,0.1,1,6830,
55,25,300,0.1,5000,0.1,0,6253,
56,25,300,0.1,5000,0.1,1,6469,
57,25,300,0.1,5000,0.1,0,3204,
58,25,300,0.1,5000,0.1,0,3899,
59,25,300,0.1,5000,0.1,1,6914,
60,25,300,0.1,5000,0.1,1,7005,
61,25,300,0.1,5000,0.1,1,6376,
62,25,300,0.1,5000,0.1,0,577,
63,25,300,0.1,5000,0.1,1,6919,
64,25,300,0.1,5000,0.1,1,6976,
65,25,300,0.1,5000,0.1,0,563,
66,25,300,0.1,5000,0.1,0,4553,
67,25,300,0.1,5000,0.1,0,6590,
68,25,300,0.1,5000,0.1,0,1873,
69,25,300,0.1,5000,0.1,1,7131,
70,25,300,0.1,5000,0.1,1,7477,
71,25,300,0.1,5000,0.1,1,6683,
72,25,300,0.1,5000,0.1,1,7228,
