iteration,size,popSize,mutProb,iter,popTop,attack,time,
21,25,300,0.1,5000,0.1,0,608,
22,25,300,0.1,5000,0.1,0,4528,
23,25,300,0.1,5000,0.1,1,6773,
24,25,300,0.1,5000,0.1,0,1093,
25,25,300,0.1,5000,0.1,1,6893,
26,25,300,0.1,5000,0.1,0,1335,
27,25,300,0.1,5000,0.1,0,1842,
28,25,300,0.1,5000,0.1,0,1769,
29,25,300,0.1,5000,0.1,1,6830,
30,25,300,0.1,5000,0.1,1,6686,
31,25,300,0.1,5000,0.1,1,7030,
32,25,300,0.1,5000,0.1,1,6999,
33,25,300,0.1,5000,0.1,0,4946,
34,25,300,0.1,5000,0.1,1,6893,
35,25,300,0.1,5000,0.1,0,1026,
36,25,300,0.1,5000,0.1,0,3642,
37,25,300,0.1,5000,0.1,1,6994,
38,25,300,0.1,5000,0.1,0,3062,
39,25,300,0.1,5000,0.1,1,15859,
40,25,300,0.1,5000,0.1,1,11864,
41,25,300,0.1,5000,0.1,0,1450,
42,25,300,0.1,5000,0.1,1,9107,
43,25,300,0.1,5000,0.1,1,7794,
44,25,300,0.1,5000,0.1,1,6471,
45,25,300,0.1,5000,0.1,1,7049,
46,25,300,0.1,5000,0.1,0,6289,
47,25,300,0.1,5000,0.1,1,6800,
48,25,300,0.1,5000,0.1,0,5869,
49,25,300,0.1,5000,0.1,1,6799,
50,25,300,0.1,5000,0.1,1,7111,
51,25,300,0.1,5000,0.1,0,3847,
52,25,300,0.1,5000,0.1,1,6443,
53,25,300,0.1,5000,0.1,0,1062,
54,25,300,0.1,5000,0.1,0,7023,
55,25,300,0.1,5000,0.1,0,640,
56,25,300,0.1,5000,0.1,1,7248,
57,25,300,0.1,5000,0.1,0,5298,
58,25,300,0.1,5000,0.1,1,6913,
59,25,300,0.1,5000,0.1,0,922,
60,25,300,0.1,5000,0.1,0,78,
61,25,300,0.1,5000,0.1,1,7269,
62,25,300,0.1,5000,0.1,1,7226,
63,25,300,0.1,5000,0.1,0,4262,
64,25,300,0.1,5000,0.1,1,6753,
65,25,300,0.1,5000,0.1,2,6975,
66,25,300,0.1,5000,0.1,1,7190,
67,25,300,0.1,5000,0.1,1,7125,
68,25,300,0.1,5000,0.1,1,6642,
69,25,300,0.1,5000,0.1,1,6977,
70,25,300,0.1,5000,0.1,1,6693,
71,25,300,0.1,5000,0.1,0,5563,
72,25,300,0.1,5000,0.1,1,6341,
73,25,300,0.1,5000,0.1,1,6686,
74,25,300,0.1,5000,0.1,0,8248,
75,25,300,0.1,5000,0.1,0,3168,
76,25,300,0.1,5000,0.1,1,6339,
77,25,300,0.1,5000,0.1,1,6455,
78,25,300,0.1,5000,0.1,1,6360,
79,25,300,0.1,5000,0.1,0,5356,
80,25,300,0.1,5000,0.1,0,3575,
81,25,300,0.1,5000,0.1,1,6024,
82,25,300,0.1,5000,0.1,0,893,
83,25,300,0.1,5000,0.1,0,2611,
84,25,300,0.1,5000,0.1,1,6489,
85,25,300,0.1,5000,0.1,0,1862,
86,25,300,0.1,5000,0.1,1,6543,
87,25,300,0.1,5000,0.1,1,6548,
88,25,300,0.1,5000,0.1,1,6855,
89,25,300,0.1,5000,0.1,1,6863,
90,25,300,0.1,5000,0.1,0,1452,
91,25,300,0.1,5000,0.1,0,5558,
92,25,300,0.1,5000,0.1,0,2396,
93,25,300,0.1,5000,0.1,0,1132,
94,25,300,0.1,5000,0.1,0,1699,
95,25,300,0.1,5000,0.1,0,1434,
96,25,300,0.1,5000,0.1,0,1951,
97,25,300,0.1,5000,0.1,1,7552,
98,25,300,0.1,5000,0.1,0,6555,
99,25,300,0.1,5000,0.1,1,6633,
100,25,300,0.1,5000,0.1,1,7355,
1,25,300,0.2,5000,0.1,0,432,
2,25,300,0.2,5000,0.1,0,106,
3,25,300,0.2,5000,0.1,0,568,
4,25,300,0.2,5000,0.1,0,3258,
5,25,300,0.2,5000,0.1,0,9113,
6,25,300,0.2,5000,0.1,0,4210,
7,25,300,0.2,5000,0.1,0,5113,
8,25,300,0.2,5000,0.1,1,9021,
9,25,300,0.2,5000,0.1,0,720,
10,25,300,0.2,5000,0.1,0,659,
11,25,300,0.2,5000,0.1,0,513,
12,25,300,0.2,5000,0.1,0,2966,
13,25,300,0.2,5000,0.1,1,9686,
14,25,300,0.2,5000,0.1,0,534,
15,25,300,0.2,5000,0.1,0,5236,
16,25,300,0.2,5000,0.1,0,2727,
17,25,300,0.2,5000,0.1,0,6945,
18,25,300,0.2,5000,0.1,1,9979,
19,25,300,0.2,5000,0.1,1,9547,
20,25,300,0.2,5000,0.1,0,7384,
21,25,300,0.2,5000,0.1,0,8487,
22,25,300,0.2,5000,0.1,0,1035,
